Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor,Código,Región,Nombre comuna,Número de personas según proyecciones de población (*),Número de personas en situación de pobreza por ingresos (**),Porcentaje de personas en situación de pobreza por ingresos 2022,"Límite inferior
 (***)",Límite superior,Presencia de la comuna en la muestra Casen,"Tipo de estimación SAE 
(****)"
409285000,11500.0,509695.0,Quinta Normal,Hoevel4548y4558,7.0,4.0,384.0,732.0,3.0,11700213,,,,,,,,,,,
105000000,2950.0,130760.0,Pedro Aguirre Cerda,Rucalhue,2.0,1.0,112.0,145.0,1.0,10894299,Legales y Propiedades SpA,,,,,,,,,,
128124000,3600.0,159557.0,Estación Central,AvenidaLasParcelas,3.0,1.0,59.0,243.0,2.0,10257635,Propiedadesrs,,,,,,,,,,
75000000,2107.0,93400.0,Colina,PasajeGonzaloRojas,3.0,1.0,103.0,73.0,1.0,9232092,Patricio Gajardo propiedades,,,,,,,,,,
53000000,1489.0,66002.0,Colina,HernánDíazArrieta2820,2.0,1.0,57.0,67.0,1.0,7085397,Patricio Gajardo propiedades,,,,,,,,,,
94000000,2641.0,117061.0,Estación Central,Avenida5deAbril,2.0,1.0,72.0,131.0,,7586371,Patricio Gajardo propiedades,,,,,,,,,,
75000000,2107.0,93400.0,Colina,GabrielaMistral/PabloNeruda,3.0,1.0,70.0,80.0,2.0,11688480,Patricio Gajardo propiedades,,,,,,,,,,
105000000,2950.0,130760.0,La Florida,SanCristóbalTres,2.0,1.0,50.0,120.0,1.0,12229303,Gesinprop Gestión Inmobiliaria,,,,,,,,,,
76000000,2135.0,94645.0,Maipú,PasajeJosédeMoraleda,3.0,1.0,72.0,72.0,1.0,12223374,Gesinprop Gestión Inmobiliaria,,,,,,,,,,
76000000,2135.0,94645.0,Maipú,Matías,3.0,1.0,46.0,90.0,1.0,12221068,Gesinprop Gestión Inmobiliaria,,,,,,,,,,
90000000,2529.0,112080.0,Maipú,LasTinajas&QuintaVergara,3.0,1.0,100.0,134.0,3.0,12188657,Gesinprop Gestión Inmobiliaria,,,,,,,,,,
75000000,2107.0,93400.0,San Bernardo,ValledelAconcagua,3.0,2.0,50.0,88.0,1.0,12187463,Gesinprop Gestión Inmobiliaria,,,,,,,,,,
153037000,4300.0,190582.0,Maipú,Merlin,3.0,2.0,98.0,130.0,2.0,12187364,Gesinprop Gestión Inmobiliaria,,,,,,,,,,
132000000,3709.0,164384.0,Quinta Normal,SalvadorGutiérrez&Jujuy,4.0,1.0,69.0,200.0,2.0,8493024,Paula Vivanco Arenas,,,,,,,,,,
199000000,5591.0,247821.0,Santiago,Cuevas,7.0,3.0,162.0,185.0,,12155606,Todo Propiedades,,,,,,,,,,
79000000,2220.0,98381.0,Puente Alto,PasajeLagoBertrand,2.0,1.0,,,2.0,12149041,Fe Propiedades Spa,,,,,,,,,,
373695000,10500.0,465374.0,La Florida,JoséMiguelCarrera,7.0,3.0,173.0,850.0,3.0,7850911,,,,,,,,,,,
480000000,13487.0,597758.0,La Florida,Altomacul,5.0,6.0,240.0,600.0,2.0,6474890,Inmobiliaria Barrio Nuevo SpA,,,,,,,,,,
142000000,3990.0,176837.0,Santiago,Sandaniel,3.0,2.0,100.0,163.0,2.0,12065162,,,,,,,,,,,
295397000,8300.0,367867.0,La Florida,CaminodelaNaturaleza,3.0,3.0,105.0,280.0,2.0,10765504,Ecorredores Gestion Inmobiliaria,,,,,,,,,,
391490000,11000.0,487534.0,La Florida,Cam.LasCumbres6790,5.0,3.0,150.0,400.0,2.0,10105612,Ecorredores Gestion Inmobiliaria,,,,,,,,,,
1210060000,34000.0,1506924.0,Las Condes,Laforesta,5.0,5.0,360.0,1150.0,4.0,10080545,,,,,,,,,,,
160155000,4500.0,199446.0,Lampa,AvenidaLaMontañaSur4149,3.0,3.0,80.0,156.0,2.0,8677005,Behouse,,,,,,,,,,
129903500,3650.0,161773.0,Lampa,AvenidaLaHacienda,3.0,2.0,68.0,221.0,1.0,7850612,Behouse,,,,,,,,,,
75000000,2107.0,93400.0,Quilicura,Riocachapoal,2.0,2.0,70.0,78.0,,11426067,Propital,,,,,,,,,,
50000000,1405.0,62267.0,Puente Alto,CerroParedones,3.0,1.0,31.0,73.0,,11988681,Cgs Corretaje Inmobiliario Spa,,,,,,,,,,
175000000,4917.0,217933.0,Santiago,RíoTrancura,3.0,3.0,94.0,191.0,4.0,11840169,,,,,,,,,,,
150000000,4215.0,186800.0,Quinta Normal,NuevaImperial,2.0,1.0,96.0,247.0,1.0,11933894,Cgs Corretaje Inmobiliario Spa,,,,,,,,,,
